,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-7.888206683074742,35.028486231984175,-160.7654564250849,-185.00462858745647,0.0,0.0,1.0
1,1.0,5e-26,38.64684379351664,-12.117953145533761,135.74853747099053,241.76803059966733,0.0,0.0,1.0
2,2.0,5e-26,-37.30127029258356,-22.47677256330286,152.81645238253043,-380.05984079440566,0.0,0.0,1.0
3,3.0,5e-26,20.400250239125583,-74.03770688711253,224.74053069558568,94.50158819682792,0.0,0.0,1.0
4,4.0,5e-26,-92.08077275848504,-15.479702528943875,-57.86613644262275,-404.21979178681755,0.0,0.0,1.0
5,5.0,5e-26,-30.862038102330303,0.3525824909258972,-427.5118153987394,-197.4031024928874,0.0,0.0,1.0
6,6.0,5e-26,44.42865308203943,5.769784114921819,236.29156687749992,451.5807557052841,0.0,0.0,1.0
7,7.0,5e-26,-4.822818424887444,15.54663401354054,236.87139074166828,-329.85880533256943,0.0,0.0,1.0
8,8.0,5e-26,-57.46248600914884,52.83721864609706,-451.1972586228444,-423.4337911887983,0.0,0.0,1.0
9,9.0,5e-26,65.04179281667794,37.23356634264567,146.73758527211135,126.19234020084434,0.0,0.0,1.0
10,0.0,5e-26,-10.926749885317527,31.53181120565586,-160.7654564250849,-185.00462858745647,1.0,0.018900473209919423,1.0
11,1.0,5e-26,41.212555389272836,-7.548422960169769,135.74853747099053,241.76803059966733,1.0,0.018900473209919423,1.0
12,2.0,5e-26,-34.41296702829261,-29.660083402403764,152.81645238253043,-380.05984079440566,1.0,0.018900473209919423,1.0
13,3.0,5e-26,24.647952618720574,-72.25158215110355,224.74053069558568,94.50158819682792,1.0,0.018900473209919423,1.0
14,4.0,5e-26,-93.17447012008037,-23.11964787452983,240.11960613297634,-330.2797368436621,1.0,0.018900473209919423,1.0
15,5.0,5e-26,-38.9422137161982,-3.378429559295899,-427.5118153987394,-197.4031024928874,1.0,0.018900473209919423,1.0
16,6.0,5e-26,48.8946755115375,14.30487409024471,236.29156687749992,451.5807557052841,1.0,0.018900473209919423,1.0
17,7.0,5e-26,-0.3458370499781873,9.312146500296286,236.87139074166828,-329.85880533256943,1.0,0.018900473209919423,1.0
18,8.0,5e-26,-65.99032770813899,44.834119619558564,-451.1972586228444,-423.4337911887983,1.0,0.018900473209919423,1.0
19,9.0,5e-26,67.81520261600174,39.61866128790877,146.73758527211135,126.19234020084434,1.0,0.018900473209919423,1.0
20,0.0,5e-26,-20.990269191415784,19.950979770172793,-160.7654564250849,-185.00462858745647,2.0,0.08149799589843156,1.0
21,1.0,5e-26,49.7100775435455,7.5856568206498,135.74853747099053,241.76803059966733,2.0,0.08149799589843156,1.0
22,2.0,5e-26,-24.847035683099232,-53.45088790952388,152.81645238253043,-380.05984079440566,2.0,0.08149799589843156,1.0
23,3.0,5e-26,38.71615308796575,-66.33601683985218,224.74053069558568,94.50158819682792,2.0,0.08149799589843156,1.0
24,4.0,5e-26,-78.1435776272148,-43.794341195156775,240.11960613297634,-330.2797368436621,2.0,0.08149799589843156,1.0
25,5.0,5e-26,-65.7033942802278,-15.735374746377103,-427.5118153987394,-197.4031024928874,2.0,0.08149799589843156,1.0
26,6.0,5e-26,63.68594223025588,42.57271069120168,236.29156687749992,451.5807557052841,2.0,0.08149799589843156,1.0
27,7.0,5e-26,14.481725206232813,-11.336197550514733,236.87139074166828,-329.85880533256943,2.0,0.08149799589843156,1.0
28,8.0,5e-26,-94.23415834177698,18.328213268535055,259.5959685957872,-561.6805807557387,2.0,0.08149799589843156,1.0
29,9.0,5e-26,77.00061193933021,47.51798916674757,146.73758527211135,126.19234020084434,2.0,0.08149799589843156,1.0
30,0.0,5e-26,-25.627619468658303,14.614439914230683,-160.7654564250849,-185.00462858745647,3.0,0.11034343558654935,1.0
31,1.0,5e-26,53.62580379391516,14.559561965827523,135.74853747099053,241.76803059966733,3.0,0.11034343558654935,1.0
32,2.0,5e-26,-20.438977922546826,-64.41388112503456,152.81645238253043,-380.05984079440566,3.0,0.11034343558654935,1.0
