,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,73.16805040712876,18.417922540219223,-599.1558841495819,943.7168770907938,0.0,0.0,1.0
1,1.0,5e-26,31.10792057137695,33.860952219134276,407.67610146204925,-890.1921438053336,0.0,0.0,1.0
2,2.0,5e-26,10.931858902796364,88.75519100370346,-621.4589502969047,467.6498194342362,0.0,0.0,1.0
3,3.0,5e-26,13.49373935600181,60.86625895541329,-517.2270973719822,-483.5306490032027,0.0,0.0,1.0
4,4.0,5e-26,4.4901732907756156,-72.0229319461956,974.7626832782512,-589.3493906294543,0.0,0.0,1.0
5,5.0,5e-26,62.553682364003066,25.662074790405725,235.17054691600333,-283.8019749548961,0.0,0.0,1.0
6,6.0,5e-26,-24.92160306983787,11.855673171807894,941.169055580659,771.5940857770438,0.0,0.0,1.0
7,7.0,5e-26,41.38049355558175,1.438224119193194,539.4822456431368,-967.9884792474427,0.0,0.0,1.0
8,8.0,5e-26,-66.93561030529727,-50.99035299835555,-625.2126642485332,-828.8904863091235,0.0,0.0,1.0
9,9.0,5e-26,-56.534543172096384,-61.613213225252686,-264.9102055236425,-610.8701594021926,0.0,0.0,1.0
10,10.0,5e-26,35.111701300310074,-32.56586959069625,-351.2172399012712,-398.58269430634437,0.0,0.0,1.0
11,11.0,5e-26,-46.70119347340423,-25.503186595040518,-167.1706042539165,409.2256397336628,0.0,0.0,1.0
12,12.0,5e-26,-61.647391844097776,-23.637464218726322,-478.31505518385336,17.294028314109596,0.0,0.0,1.0
13,13.0,5e-26,-65.3658671422892,3.217345995961267,999.610944395741,799.7247868775514,0.0,0.0,1.0
14,14.0,5e-26,-29.82947081938329,-28.641222409752856,-208.92786012147235,244.09541719147978,0.0,0.0,1.0
15,15.0,5e-26,-11.092797037642242,-18.706294494826324,-541.9044038626178,135.82867025969836,0.0,0.0,1.0
16,16.0,5e-26,49.79302609628115,3.6584568635344112,781.4557032340601,-851.0827362666142,0.0,0.0,1.0
17,17.0,5e-26,-2.9648362346465404,2.9781660509691505,769.5441002343189,860.1584085895954,0.0,0.0,1.0
18,18.0,5e-26,2.0137314893543987,-45.90030952568684,282.4816584084924,-861.6063204969732,0.0,0.0,1.0
19,19.0,5e-26,76.32808176398976,9.087016451930424,-426.98108432364074,-593.1383621462998,0.0,0.0,1.0
20,0.0,5e-26,70.95230481031449,21.90789329803156,530.3724935325009,537.9518192166247,1.0,0.003698112053024745,1.0
21,1.0,5e-26,32.61555247592389,30.568921922619836,407.67610146204925,-890.1921438053336,1.0,0.003698112053024745,1.0
22,2.0,5e-26,8.633634068243275,90.48461243754805,-621.4589502969047,467.6498194342362,1.0,0.003698112053024745,1.0
23,3.0,5e-26,11.580975593059481,59.07810843432767,-517.2270973719822,-483.5306490032027,1.0,0.003698112053024745,1.0
24,4.0,5e-26,8.094954918645659,-74.20241203112518,974.7626832782512,-589.3493906294543,1.0,0.003698112053024745,1.0
25,5.0,5e-26,63.42336939806956,24.612543286152796,-894.3578307660796,121.96308291927315,1.0,0.003698112053024745,1.0
26,6.0,5e-26,-21.44105444146112,14.709114560462588,941.169055580659,771.5940857770438,1.0,0.003698112053024745,1.0
27,7.0,5e-26,43.375559350587494,-2.141505743100867,539.4822456431368,-967.9884792474427,1.0,0.003698112053024745,1.0
28,8.0,5e-26,-69.24771679465849,-54.05568289641286,-625.2126642485332,-828.8904863091235,1.0,0.003698112053024745,1.0
