,x,y,t,collision
0,0.0,0.0,0.0,0.0
1,0.0676778087599046,-0.11405897932555796,0.0002479252284609308,2.0
2,0.039174695319914174,-0.7686450284522014,0.0021959676555372903,29.0
3,0.020549413878587365,-0.9453208076576528,0.002780277944781485,39.0
4,0.01885929217646936,-0.9928259875289074,0.0029196530235034925,41.0
5,0.00705906243433283,-1.5163803994486695,0.0044454871775704945,67.0
6,-0.09460511824806804,-2.258637018310699,0.00635359160644331,102.0
7,-0.13876070355928155,-2.3835339114505976,0.006781027526436982,107.0
8,-0.19607302845151736,-2.4961880483451053,0.007068564376834298,111.0
9,-0.22414272370797894,-2.605050466703595,0.00740412503741899,117.0
10,-0.2977350523841254,-2.749678653935669,0.008322316034826787,135.0
11,-0.19912699354421898,-2.847599918953363,0.009101720708616113,151.0
12,-0.18078461393503706,-2.8983122726494464,0.009290359108702769,154.0
13,-0.06149711683247192,-2.946685139408997,0.009800525283478714,168.0
14,-0.008415349647661666,-2.976896669194507,0.010031771795245545,172.0
15,0.0834906251698302,-2.9716214148107443,0.010381531642430749,177.0
16,0.08996433148680967,-2.9594001189182464,0.010546090394711768,182.0
17,0.15242139422919643,-2.878084629332125,0.012217437678406542,212.0
18,0.2249044726199084,-2.86984954539126,0.012678929606738986,218.0
19,0.29980938520913863,-2.863470851673104,0.013188677683847452,230.0
20,0.4550381128900361,-2.7627875276576916,0.014776420623424333,262.0
21,0.7002797405777568,-2.6793383552285244,0.016039307442074848,275.0
22,0.7203431538479682,-2.6243939703232626,0.016818153737304012,291.0
23,0.6067535379122809,-2.521880315277535,0.018984241666154027,325.0
24,0.5763977107467229,-2.5150622854731477,0.01954794035484364,331.0
25,0.5240466948858856,-2.4194326732364515,0.02041236266147491,346.0
26,0.4231026844583804,-2.353824989486924,0.021188366623376597,354.0
27,0.4648062925785414,-2.3665192417331875,0.021486252176724584,357.0
28,0.5053246461399564,-2.3598222454055606,0.021794114771972524,364.0
29,0.6580920167095728,-2.2836786760979035,0.022840368505599683,377.0
30,0.7430189524380744,-2.214980355056486,0.02340773460579919,386.0
31,0.8994901416871425,-2.0642206828560097,0.02485938918451098,414.0
32,0.9464786653445796,-2.1172546980890097,0.025440905752143972,425.0
33,0.9814227488756063,-2.1592248654119564,0.026217541264490437,441.0
34,1.1039265111969438,-2.203065187382221,0.027641541970508995,469.0
35,1.1535844079401325,-2.19280958285989,0.02806914781453858,476.0
36,1.171081930186336,-2.2643800331586617,0.028687766780798866,489.0
