,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-95.06679942232884,-98.30750556256082,-55.837802721218395,117.87547426722779,0.0,0.0,1.0
1,1.0,5e-26,86.41674565942867,-125.01686378012812,292.8131882800717,-452.374682720856,0.0,0.0,1.0
2,2.0,5e-26,8.122812458238144,-137.11258695438397,412.989499195538,-28.41882687719857,0.0,0.0,1.0
3,3.0,5e-26,73.63783767340607,-140.85037078065423,-42.83461533581766,-380.7859480824477,0.0,0.0,1.0
4,4.0,5e-26,46.50602948840435,92.52364586269061,-490.9379093696057,118.16341385497913,0.0,0.0,1.0
5,5.0,5e-26,33.94100947687534,-158.05626531190995,92.67444495677114,-193.88932118331547,0.0,0.0,1.0
6,6.0,5e-26,-113.89214206531497,-79.0786520740011,463.92910893718954,422.02634495459165,0.0,0.0,1.0
7,7.0,5e-26,-110.37457737080315,-105.99951387714343,-292.2383292688702,209.47541131896685,0.0,0.0,1.0
8,8.0,5e-26,-52.169922055019555,86.93493892399783,360.24399386393725,255.89043577417578,0.0,0.0,1.0
9,9.0,5e-26,-59.7231889753356,122.15040885270662,464.07861446537765,-200.68714260600296,0.0,0.0,1.0
10,10.0,5e-26,93.03435214118139,-27.59723898441635,-30.514222451238822,366.49062435720896,0.0,0.0,1.0
11,11.0,5e-26,131.0812213303247,32.39790010992152,418.2206437421679,-238.34001652551018,0.0,0.0,1.0
12,12.0,5e-26,-15.868024261644337,-74.8085517252932,486.09693320529686,-134.22796392380843,0.0,0.0,1.0
13,13.0,5e-26,-49.494863556903766,-64.84033737399102,237.06405849987493,367.11581652460325,0.0,0.0,1.0
14,14.0,5e-26,134.46311720672048,125.92257647454721,-431.47461237972004,297.4840424044529,0.0,0.0,1.0
15,15.0,5e-26,-173.8456868062148,39.09913200227339,-121.71200237326508,-106.15352588745264,0.0,0.0,1.0
16,16.0,5e-26,26.448460067136836,17.066113457638266,-194.36675914641177,282.05736940684244,0.0,0.0,1.0
17,17.0,5e-26,30.100140547560642,-184.98975281232256,487.4091335254426,186.31718811802205,0.0,0.0,1.0
18,18.0,5e-26,-2.5601269550919312,-39.36847889885448,-321.3794314924778,350.5724711314749,0.0,0.0,1.0
19,19.0,5e-26,60.89553357049539,100.47981552994901,54.849184869966734,-193.2039995813892,0.0,0.0,1.0
20,0.0,5e-26,-98.40894101993715,-91.25213255919931,-55.837802721218395,117.87547426722779,1.0,0.05985446122037848,1.0
21,1.0,5e-26,103.9429212821536,-152.0935066841246,292.8131882800717,-452.374682720856,1.0,0.05985446122037848,1.0
22,2.0,5e-26,32.842076422261,-138.8135805256339,412.989499195538,-28.41882687719857,1.0,0.05985446122037848,1.0
