,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-45.342168227987095,-19.173532413477005,-245.71430131760565,-303.0940472506685,0.0,0.0,1.0
1,1.0,5e-26,-10.378893458927053,-94.5914690429469,-293.3291500178342,-473.3278481394539,0.0,0.0,1.0
2,2.0,5e-26,-20.987959842994627,-28.379841979814472,-60.62571476047464,6.857362435836706,0.0,0.0,1.0
3,3.0,5e-26,46.00616391831667,68.2449044835976,136.0997642360761,-135.76983956694744,0.0,0.0,1.0
4,4.0,5e-26,81.50052589101205,-19.761799361715177,-470.27827722356443,-174.34026381967868,0.0,0.0,1.0
5,5.0,5e-26,-21.773569834775685,56.80201898872821,117.34583639638299,-42.11070031263364,0.0,0.0,1.0
6,6.0,5e-26,77.73244790709649,27.07313874832272,-272.9333005217628,360.19833821805514,0.0,0.0,1.0
7,7.0,5e-26,1.7103466968463295,87.9298171574186,184.85492664137428,-490.49740966360724,0.0,0.0,1.0
8,8.0,5e-26,-44.09454789544701,9.63148002791418,-11.573682226192602,97.57971166144864,0.0,0.0,1.0
9,9.0,5e-26,71.56688943038725,11.649489649187984,405.05019362665314,67.42792413234565,0.0,0.0,1.0
10,0.0,5e-26,-45.342168227987095,-19.173532413477005,-245.71430131760565,-303.0940472506685,1.0,0.0,1.0
11,1.0,5e-26,-10.378893458927053,-94.5914690429469,-183.71566473158538,525.6708063101307,1.0,0.0,1.0
12,2.0,5e-26,-20.987959842994627,-28.379841979814472,-60.62571476047464,6.857362435836706,1.0,0.0,1.0
13,3.0,5e-26,46.00616391831667,68.2449044835976,136.0997642360761,-135.76983956694744,1.0,0.0,1.0
14,4.0,5e-26,81.50052589101205,-19.761799361715177,-470.27827722356443,-174.34026381967868,1.0,0.0,1.0
15,5.0,5e-26,-21.773569834775685,56.80201898872821,117.34583639638299,-42.11070031263364,1.0,0.0,1.0
16,6.0,5e-26,77.73244790709649,27.07313874832272,-272.9333005217628,360.19833821805514,1.0,0.0,1.0
