,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-47.54235492719478,-45.20224796268433,531.6917680930537,-151.80700885714862,0.0,0.0,1.0
1,1.0,5e-26,-46.25534651567573,-55.0704796934258,5.626871355313142,-111.60453281080288,0.0,0.0,1.0
2,2.0,5e-26,22.901353398893704,-24.624790472962204,-572.9857634009104,766.8667888795517,0.0,0.0,1.0
3,3.0,5e-26,30.819122729134307,30.103584018975596,-161.38314682270652,232.56819431615236,0.0,0.0,1.0
4,4.0,5e-26,-20.38286495186091,6.17495287893351,-248.55776735864185,628.016431098114,0.0,0.0,1.0
5,5.0,5e-26,-23.727247340520975,-58.61094046130611,-83.99201481778994,-594.6917445717977,0.0,0.0,1.0
6,6.0,5e-26,-28.422905959290674,21.616036626853358,-181.86787622589736,-179.99910510876725,0.0,0.0,1.0
7,7.0,5e-26,25.237046095109733,83.23697382903256,-81.80873099697192,-411.7173092950119,0.0,0.0,1.0
8,8.0,5e-26,25.870860921052937,9.493210449223497,907.1606501248577,-725.2980637154062,0.0,0.0,1.0
9,9.0,5e-26,90.3566568152755,0.47020201900532754,943.1112394799993,953.7376481037873,0.0,0.0,1.0
10,0.0,5e-26,-47.54235492719478,-45.20224796268433,531.6917680930537,-151.80700885714862,1.0,0.0,1.0
11,1.0,5e-26,-46.25534651567573,-55.0704796934258,5.626871355313142,-111.60453281080288,1.0,0.0,1.0
12,2.0,5e-26,22.901353398893704,-24.624790472962204,-572.9857634009104,766.8667888795517,1.0,0.0,1.0
13,3.0,5e-26,30.819122729134307,30.103584018975596,-161.38314682270652,232.56819431615236,1.0,0.0,1.0
14,4.0,5e-26,-20.38286495186091,6.17495287893351,-248.55776735864185,628.016431098114,1.0,0.0,1.0
15,5.0,5e-26,-23.727247340520975,-58.61094046130611,-83.99201481778994,-594.6917445717977,1.0,0.0,1.0
16,6.0,5e-26,-28.422905959290674,21.616036626853358,-181.86787622589736,-179.99910510876725,1.0,0.0,1.0
17,7.0,5e-26,25.237046095109733,83.23697382903256,-81.80873099697192,-411.7173092950119,1.0,0.0,1.0
18,8.0,5e-26,25.870860921052937,9.493210449223497,907.1606501248577,-725.2980637154062,1.0,0.0,1.0
19,9.0,5e-26,90.3566568152755,0.47020201900532754,-952.9860985701469,943.8706518247584,1.0,0.0,1.0
20,0.0,5e-26,-16.16326031510466,-54.16151116661111,531.6917680930537,-151.80700885714862,2.0,0.05901745427549731,1.0
21,1.0,5e-26,-45.923262892749435,-61.6570951055256,5.626871355313142,-111.60453281080288,2.0,0.05901745427549731,1.0
22,2.0,5e-26,-10.914807693130442,20.633735175134184,-572.9857634009104,766.8667888795517,2.0,0.05901745427549731,1.0
23,3.0,5e-26,21.294700240689355,43.82916679296409,-161.38314682270652,232.56819431615236,2.0,0.05901745427549731,1.0
24,4.0,5e-26,-35.05211162176926,43.238883885527464,-248.55776735864185,628.016431098114,2.0,0.05901745427549731,1.0
25,5.0,5e-26,-28.684242234536786,-93.7081333045879,263.28145498420076,539.8108975154194,2.0,0.05901745427549731,1.0
26,6.0,5e-26,-39.15628502863437,10.992947671466252,-181.86787622589736,-179.99910510876725,2.0,0.05901745427549731,1.0
27,7.0,5e-26,20.408903054159484,58.93846635328342,-81.80873099697192,-411.7173092950119,2.0,0.05901745427549731,1.0
28,8.0,5e-26,79.40917311032715,-33.31203486220722,907.1606501248577,-725.2980637154062,2.0,0.05901745427549731,1.0
29,9.0,5e-26,34.11384331772729,56.17504505505685,-952.9860985701469,943.8706518247584,2.0,0.05901745427549731,1.0
30,0.0,5e-26,-10.533294841294234,-55.76896170437946,531.6917680930537,-151.80700885714862,3.0,0.06960623110385156,1.0
31,1.0,5e-26,-45.86368120772617,-62.83885059649193,5.626871355313142,-111.60453281080288,3.0,0.06960623110385156,1.0
32,2.0,5e-26,-16.98202606760687,28.75391645965641,-572.9857634009104,766.8667888795517,3.0,0.06960623110385156,1.0
33,3.0,5e-26,19.58585011512619,46.29177949995115,-161.38314682270652,232.56819431615236,3.0,0.06960623110385156,1.0
34,4.0,5e-26,-37.684034349283905,49.88880971896491,-248.55776735864185,628.016431098114,3.0,0.06960623110385156,1.0
35,5.0,5e-26,-25.89641366466469,-87.99219618128352,263.28145498420076,539.8108975154194,3.0,0.06960623110385156,1.0
36,6.0,5e-26,-41.08204338223715,9.086977318166037,-181.86787622589736,-179.99910510876725,3.0,0.06960623110385156,1.0
37,7.0,5e-26,19.542648659021683,54.578883648788036,-81.80873099697192,-411.7173092950119,3.0,0.06960623110385156,1.0
38,8.0,5e-26,89.01489478196402,-40.992054192927114,-1140.8542194883319,217.82877734574436,3.0,0.06960623110385156,1.0
39,9.0,5e-26,24.022886199444,66.16948074206248,-952.9860985701469,943.8706518247584,3.0,0.06960623110385156,1.0
40,0.0,5e-26,-6.970532023206126,-56.78619085694133,531.6917680930537,-151.80700885714862,4.0,0.0763070360286037,1.0
41,1.0,5e-26,-45.82597664043754,-63.58669079957522,5.626871355313142,-111.60453281080288,4.0,0.0763070360286037,1.0
42,2.0,5e-26,-20.821491892816557,33.89254121520937,-572.9857634009104,766.8667888795517,4.0,0.0763070360286037,1.0
43,3.0,5e-26,18.5044531301246,47.85017360176553,-238.52129074894165,-392.37389129265466,4.0,0.0763070360286037,1.0
44,4.0,5e-26,-39.34957146088609,54.09702531329241,-248.55776735864185,628.016431098114,4.0,0.0763070360286037,1.0
45,5.0,5e-26,-24.13221599451065,-84.37502866077732,263.28145498420076,539.8108975154194,4.0,0.0763070360286037,1.0
46,6.0,5e-26,-42.30070454290586,7.880838428202231,-181.86787622589736,-179.99910510876725,4.0,0.0763070360286037,1.0
47,7.0,5e-26,18.99446431146945,51.82004627505832,-4.6705870707367865,213.22477631379513,4.0,0.0763070360286037,1.0
48,8.0,5e-26,81.37025320959235,-39.53242604893601,-1140.8542194883319,217.82877734574436,4.0,0.0763070360286037,1.0
49,9.0,5e-26,17.63711225692483,72.49417385413884,-952.9860985701469,943.8706518247584,4.0,0.0763070360286037,1.0
50,0.0,5e-26,7.221973683451647,-60.83839171617799,531.6917680930537,-151.80700885714862,5.0,0.10300014387482839,1.0
51,1.0,5e-26,-45.67577795651333,-66.56576263002151,5.626871355313142,-111.60453281080288,5.0,0.10300014387482839,1.0
52,2.0,5e-26,-36.11626266962844,54.36259911445927,-572.9857634009104,766.8667888795517,5.0,0.10300014387482839,1.0
53,3.0,5e-26,12.137578592542383,37.37649500544786,-238.52129074894165,-392.37389129265466,5.0,0.10300014387482839,1.0
54,4.0,5e-26,-45.98435075100714,70.86073563779551,-248.55776735864185,628.016431098114,5.0,0.10300014387482839,1.0
55,5.0,5e-26,-17.104415722706424,-69.96579815683089,263.28145498420076,539.8108975154194,5.0,0.10300014387482839,1.0
56,6.0,5e-26,-47.15532337676758,3.0761029033099723,-181.86787622589736,-179.99910510876725,5.0,0.10300014387482839,1.0
57,7.0,5e-26,18.86979182708509,57.51167822468959,-4.6705870707367865,213.22477631379513,5.0,0.10300014387482839,1.0
58,8.0,5e-26,50.917308491969806,-33.71789900323479,-1140.8542194883319,217.82877734574436,5.0,0.10300014387482839,1.0
59,9.0,5e-26,-7.801048448161019,97.68901495618351,-791.1166420812588,-1083.1476215484747,5.0,0.10300014387482839,1.0
60,0.0,5e-26,18.053591246096094,-63.931002062896454,531.6917680930537,-151.80700885714862,6.0,0.12337213045173691,1.0
61,1.0,5e-26,-45.5611474087929,-68.83936867436533,5.626871355313142,-111.60453281080288,6.0,0.12337213045173691,1.0
62,2.0,5e-26,-47.789120950391464,69.98519904379043,-572.9857634009104,766.8667888795517,6.0,0.12337213045173691,1.0
63,3.0,5e-26,7.27842605909805,29.383059358904536,-238.52129074894165,-392.37389129265466,6.0,0.12337213045173691,1.0
64,4.0,5e-26,-51.04796625122374,83.65467794220429,444.8194742283474,-508.2531227555239,6.0,0.12337213045173691,1.0
65,5.0,5e-26,-11.740849455819342,-58.968777798577825,263.28145498420076,539.8108975154194,6.0,0.12337213045173691,1.0
66,6.0,5e-26,-50.86033331001242,-0.5908364498213792,-181.86787622589736,-179.99910510876725,6.0,0.12337213045173691,1.0
67,7.0,5e-26,18.77464268997376,61.85549050561855,-4.6705870707367865,213.22477631379513,6.0,0.12337213045173691,1.0
68,8.0,5e-26,27.675841646344068,-29.280294075082892,-1140.8542194883319,217.82877734574436,6.0,0.12337213045173691,1.0
69,9.0,5e-26,-23.91766606140936,75.6231461491876,-791.1166420812588,-1083.1476215484747,6.0,0.12337213045173691,1.0
70,0.0,5e-26,25.421353483920303,-66.0346230222847,531.6917680930537,-151.80700885714862,7.0,0.13722933622388786,1.0
71,1.0,5e-26,-45.4831746945689,-70.3858956506294,5.626871355313142,-111.60453281080288,7.0,0.13722933622388786,1.0
72,2.0,5e-26,-55.729102578350876,80.61182993712302,515.0259420437733,-806.9359553077818,7.0,0.13722933622388786,1.0
73,3.0,5e-26,3.97318745215092,23.945853607642633,-238.52129074894165,-392.37389129265466,7.0,0.13722933622388786,1.0
74,4.0,5e-26,-44.88401126538153,76.61170983584269,444.8194742283474,-508.2531227555239,7.0,0.13722933622388786,1.0
75,5.0,5e-26,-8.092504158111975,-51.48850711365717,263.28145498420076,539.8108975154194,7.0,0.13722933622388786,1.0
76,6.0,5e-26,-53.38051389421876,-3.0851210881165945,-181.86787622589736,-179.99910510876725,7.0,0.13722933622388786,1.0
77,7.0,5e-26,18.709921403857813,64.81019010671966,-4.6705870707367865,213.22477631379513,7.0,0.13722933622388786,1.0
78,8.0,5e-26,11.866789970867588,-26.26179588430686,-1140.8542194883319,217.82877734574436,7.0,0.13722933622388786,1.0
79,9.0,5e-26,-34.880332160502455,60.61374667577451,-791.1166420812588,-1083.1476215484747,7.0,0.13722933622388786,1.0
80,0.0,5e-26,59.933477933118354,-75.88841933124222,531.6917680930537,-151.80700885714862,8.0,0.20213935838386596,1.0
81,1.0,5e-26,-45.11793435020418,-77.63014834853261,5.626871355313142,-111.60453281080288,8.0,0.20213935838386596,1.0
82,2.0,5e-26,-22.298757267325954,28.23359919641181,515.0259420437733,-806.9359553077818,8.0,0.20213935838386596,1.0
83,3.0,5e-26,-11.50923481598946,-1.52314437116042,-238.52129074894165,-392.37389129265466,8.0,0.20213935838386596,1.0
84,4.0,5e-26,-16.010769336029693,43.62098837490356,444.8194742283474,-508.2531227555239,8.0,0.20213935838386596,1.0
85,5.0,5e-26,8.997100919223772,-16.449369793733638,263.28145498420076,539.8108975154194,8.0,0.20213935838386596,1.0
86,6.0,5e-26,-65.18556177022991,-14.768866989502904,-523.7467922559773,-481.6276439078015,8.0,0.20213935838386596,1.0
87,7.0,5e-26,18.40675349359618,78.65061506230447,-4.6705870707367865,213.22477631379513,8.0,0.20213935838386596,1.0
88,8.0,5e-26,-62.18608269742455,-12.122525119713659,-798.9753034582519,519.4573161447786,8.0,0.20213935838386596,1.0
89,9.0,5e-26,-86.23173092912442,-9.69338944146456,-791.1166420812588,-1083.1476215484747,8.0,0.20213935838386596,1.0
90,0.0,5e-26,59.933477933118795,-75.88841933124235,531.6917680930537,-151.80700885714862,9.0,0.2021393583838668,1.0
91,1.0,5e-26,-45.11793435020417,-77.63014834853271,5.626871355313142,-111.60453281080288,9.0,0.2021393583838668,1.0
92,2.0,5e-26,-22.298757267325524,28.233599196411138,515.0259420437733,-806.9359553077818,9.0,0.2021393583838668,1.0
93,3.0,5e-26,-11.50923481598966,-1.5231443711607466,-238.52129074894165,-392.37389129265466,9.0,0.2021393583838668,1.0
94,4.0,5e-26,-16.010769336029323,43.620988374903135,444.8194742283474,-508.2531227555239,9.0,0.2021393583838668,1.0
95,5.0,5e-26,8.99710091922399,-16.449369793733187,263.28145498420076,539.8108975154194,9.0,0.2021393583838668,1.0
96,6.0,5e-26,-65.18556177023035,-14.768866989503305,-181.86787622582034,-179.99910510858143,9.0,0.2021393583838668,1.0
97,7.0,5e-26,18.406753493596177,78.65061506230464,-4.6705870707367865,213.22477631379513,9.0,0.2021393583838668,1.0
98,8.0,5e-26,-62.18608269742522,-12.122525119713227,-1140.854219488409,217.82877734555854,9.0,0.2021393583838668,1.0
99,9.0,5e-26,-86.23173092912508,-9.693389441465463,-791.1166420812588,-1083.1476215484747,9.0,0.2021393583838668,1.0
100,0.0,5e-26,61.467654878003934,-76.32645284433569,-34.96700399314625,551.8322325017047,10.0,0.20502482142270143,1.0
101,1.0,5e-26,-45.10169822088414,-77.95217910292469,5.626871355313142,-111.60453281080288,10.0,0.20502482142270143,1.0
102,2.0,5e-26,-20.812668947517228,25.905215322663818,515.0259420437733,-806.9359553077818,10.0,0.20502482142270143,1.0
103,3.0,5e-26,-12.19747918442086,-2.6553247318894204,-238.52129074894165,-392.37389129265466,10.0,0.20502482142270143,1.0
104,4.0,5e-26,-14.727259184189572,42.154442774819785,444.8194742283474,-508.2531227555239,10.0,0.20502482142270143,1.0
105,5.0,5e-26,9.756789826391508,-14.891765400992293,263.28145498420076,539.8108975154194,10.0,0.20502482142270143,1.0
106,6.0,5e-26,-65.71033480503131,-15.288247754317428,-181.86787622582034,-179.99910510858143,10.0,0.20502482142270143,1.0
107,7.0,5e-26,18.393276687233907,79.26586727332187,-4.6705870707367865,213.22477631379513,10.0,0.20502482142270143,1.0
108,8.0,5e-26,-65.47797538045756,-11.493988233888079,-1140.854219488409,217.82877734555854,10.0,0.20502482142270143,1.0
109,9.0,5e-26,-88.51446875925753,-12.818771869045232,-791.1166420812588,-1083.1476215484747,10.0,0.20502482142270143,1.0
110,0.0,5e-26,61.161921128450544,-71.50151166263667,-34.96700399314625,551.8322325017047,11.0,0.2137683142770883,1.0
111,1.0,5e-26,-45.0524997113964,-78.92799253807313,5.626871355313142,-111.60453281080288,11.0,0.2137683142770883,1.0
112,2.0,5e-26,-16.30954330343362,18.849776563482372,515.0259420437733,-806.9359553077818,11.0,0.2137683142770883,1.0
113,3.0,5e-26,-14.28298838570337,-6.086043046654723,-238.52129074894165,-392.37389129265466,11.0,0.2137683142770883,1.0
114,4.0,5e-26,-10.837983289781885,37.71053522778704,444.8194742283474,-508.2531227555239,11.0,0.2137683142770883,1.0
115,5.0,5e-26,12.05878934673845,-10.171932675846051,263.28145498420076,539.8108975154194,11.0,0.2137683142770883,1.0
116,6.0,5e-26,-67.30049528125429,-16.862068643630344,-181.86787622582034,-179.99910510858143,11.0,0.2137683142770883,1.0
117,7.0,5e-26,18.352439442555127,81.13019658139979,-4.6705870707367865,213.22477631379513,11.0,0.2137683142770883,1.0
118,8.0,5e-26,-75.4530260964516,-9.589403875687356,-1140.854219488409,217.82877734555854,11.0,0.2137683142770883,1.0
119,9.0,5e-26,-95.43159146628156,-22.289265358300472,1189.0607590933387,-620.6519335573021,11.0,0.2137683142770883,1.0
120,0.0,5e-26,60.475275524442274,-60.66520504993301,-34.96700399314625,551.8322325017047,12.0,0.23340527271204198,1.0
121,1.0,5e-26,-44.942005072473286,-81.11956611003129,5.626871355313142,-111.60453281080288,12.0,0.23340527271204198,1.0
122,2.0,5e-26,-6.196000286597188,3.0040087494338312,515.0259420437733,-806.9359553077818,12.0,0.23340527271204198,1.0
123,3.0,5e-26,-18.966821057991837,-13.791072840929612,-238.52129074894165,-392.37389129265466,12.0,0.23340527271204198,1.0
124,4.0,5e-26,-2.1030817633018835,27.729989781801414,444.8194742283474,-508.2531227555239,12.0,0.23340527271204198,1.0
125,5.0,5e-26,17.228836334957325,0.42831148139927144,263.28145498420076,539.8108975154194,12.0,0.23340527271204198,1.0
126,6.0,5e-26,-70.87182720735402,-20.396703588976415,-181.86787622582034,-179.99910510858143,12.0,0.23340527271204198,1.0
127,7.0,5e-26,18.260723318380236,85.31728265117607,-4.6705870707367865,213.22477631379513,12.0,0.23340527271204198,1.0
128,8.0,5e-26,-97.85593298488699,-5.311909229015846,1110.5713011935459,340.042808083984,12.0,0.23340527271204198,1.0
129,9.0,5e-26,-72.08205476333121,-34.47698158013884,1189.0607590933387,-620.6519335573021,12.0,0.23340527271204198,1.0
130,0.0,5e-26,58.66943214954242,-32.16626412509072,-34.96700399314625,551.8322325017047,13.0,0.28504948493147636,1.0
131,1.0,5e-26,-44.65140973406804,-86.88329428716322,5.626871355313142,-111.60453281080288,13.0,0.28504948493147636,1.0
132,2.0,5e-26,20.40210876282555,-38.66956297397327,515.0259420437733,-806.9359553077818,13.0,0.28504948493147636,1.0
133,3.0,5e-26,-31.28506521628359,-34.05491335221275,-238.52129074894165,-392.37389129265466,13.0,0.28504948493147636,1.0
134,4.0,5e-26,20.869269563084114,1.4816576490249034,444.8194742283474,-508.2531227555239,13.0,0.28504948493147636,1.0
135,5.0,5e-26,30.82579966960285,28.30642003104893,263.28145498420076,539.8108975154194,13.0,0.28504948493147636,1.0
136,6.0,5e-26,-80.2642504030581,-29.69261557251227,-181.86787622582034,-179.99910510858143,13.0,0.28504948493147636,1.0
137,7.0,5e-26,18.01951452850976,96.32910824956713,-81.43023231537643,-197.1185858378584,13.0,0.28504948493147636,1.0
138,8.0,5e-26,-40.501353021234124,12.249333715365822,1110.5713011935459,340.042808083984,13.0,0.28504948493147636,1.0
139,9.0,5e-26,-10.673948578913091,-66.53006175117443,1189.0607590933387,-620.6519335573021,13.0,0.28504948493147636,1.0
140,0.0,5e-26,58.555755667151374,-30.372277226096234,-34.96700399314625,551.8322325017047,14.0,0.2883004492523924,1.0
141,1.0,5e-26,-44.63311697605353,-87.24611664138365,93.79556264629205,60.74229048226877,14.0,0.2883004492523924,1.0
142,2.0,5e-26,22.07643972475603,-41.29288297394317,515.0259420437733,-806.9359553077818,14.0,0.2883004492523924,1.0
143,3.0,5e-26,-32.06048942228724,-35.330506873264156,-238.52129074894165,-392.37389129265466,14.0,0.2883004492523924,1.0
144,4.0,5e-26,22.315361803049104,-0.17065511904746455,444.8194742283474,-508.2531227555239,14.0,0.2883004492523924,1.0
145,5.0,5e-26,31.681718286115352,30.061325998913222,263.28145498420076,539.8108975154194,14.0,0.2883004492523924,1.0
146,6.0,5e-26,-80.85549637978902,-30.277786241017086,-181.86787622582034,-179.99910510858143,14.0,0.2883004492523924,1.0
147,7.0,5e-26,17.754787748608567,95.68828276001882,-81.43023231537643,-197.1185858378584,14.0,0.2883004492523924,1.0
148,8.0,5e-26,-36.89092534522061,13.354800752030954,1110.5713011935459,340.042808083984,14.0,0.2883004492523924,1.0
149,9.0,5e-26,-6.808354475699305,-68.54777904287677,1189.0607590933387,-620.6519335573021,14.0,0.2883004492523924,1.0
150,0.0,5e-26,57.28869007168122,-10.376064899428354,-34.96700399314625,551.8322325017047,15.0,0.3245364846793482,1.0
151,1.0,5e-26,-41.23433764511124,-85.04505685155372,93.79556264629205,60.74229048226877,15.0,0.3245364846793482,1.0
152,2.0,5e-26,40.738938006455484,-70.53304283776038,515.0259420437733,-806.9359553077818,15.0,0.3245364846793482,1.0
153,3.0,5e-26,-40.703555363949114,-49.548581098757296,-238.52129074894165,-392.37389129265466,15.0,0.3245364846793482,1.0
154,4.0,5e-26,38.43385602978735,-18.587733281077544,444.8194742283474,-508.2531227555239,15.0,0.3245364846793482,1.0
155,5.0,5e-26,41.22199441618332,49.62193280513877,263.28145498420076,539.8108975154194,15.0,0.3245364846793482,1.0
156,6.0,5e-26,-87.44566718573306,-36.80024019055198,-181.86787622582034,-179.99910510858143,15.0,0.3245364846793482,1.0
157,7.0,5e-26,14.804078965603345,88.54548670028676,-81.43023231537643,-197.1185858378584,15.0,0.3245364846793482,1.0
