,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-73.62265368143463,5.989370474775029,-789.0897600534483,-249.0253200641182,0.0,0.0,1.0
1,1.0,5e-26,-78.19230725877608,-39.00958404215228,296.7827138807504,476.4341509590977,0.0,0.0,1.0
2,2.0,5e-26,-40.223119195183564,-44.591992868767555,-185.39663697941353,321.1632277982676,0.0,0.0,1.0
3,3.0,5e-26,-1.279215968309515,49.50061505876607,-52.846800829973404,209.4458727765625,0.0,0.0,1.0
4,4.0,5e-26,15.235175527425397,-10.073915993227274,379.32604965256996,-17.099531306048675,0.0,0.0,1.0
5,5.0,5e-26,8.722516097715285,50.6220005762745,-159.7810882941335,-519.0264964219373,0.0,0.0,1.0
6,6.0,5e-26,62.76840041313042,-58.963759265023455,-302.9974528042177,762.519960862835,0.0,0.0,1.0
7,7.0,5e-26,-17.876333504877053,-74.32707932608415,-207.0536959867402,-806.747840883879,0.0,0.0,1.0
8,8.0,5e-26,-29.966220632651897,-30.797430208836303,-382.02822360916343,891.9128523403815,0.0,0.0,1.0
9,9.0,5e-26,-51.20227079718143,-53.81577998152395,-44.497099258587355,-184.76769032267407,0.0,0.0,1.0
10,10.0,5e-26,-26.781770653078823,-82.02255318172776,825.1668933297758,207.64158611164498,0.0,0.0,1.0
11,11.0,5e-26,22.57403156679939,-51.938861659382724,-765.3524191980305,103.48859530366599,0.0,0.0,1.0
12,12.0,5e-26,-19.579542152233216,-66.83851751893987,-102.80075793637786,893.351281903324,0.0,0.0,1.0
13,13.0,5e-26,-35.01352590803103,85.11119844268242,-132.15803558737082,-868.1120645411872,0.0,0.0,1.0
14,14.0,5e-26,25.365655075718024,61.6248566424089,-363.52338795582546,-201.21430320714228,0.0,0.0,1.0
15,15.0,5e-26,-7.659179447618612,96.64694859381206,-315.3515432736076,-283.04083660738,0.0,0.0,1.0
16,16.0,5e-26,-95.23390000766477,-0.8944924300748767,946.3730661418842,-775.4453551336467,0.0,0.0,1.0
17,17.0,5e-26,39.15118503043084,40.02841179426386,-695.0153291540313,-220.41642922334506,0.0,0.0,1.0
18,18.0,5e-26,30.08500734342971,-89.83746660843028,782.2805204785441,312.8939227540252,0.0,0.0,1.0
19,19.0,5e-26,-32.32553670087616,20.203430679855458,-902.2128770890567,-404.9249136025021,0.0,0.0,1.0
20,0.0,5e-26,-73.62265368143463,5.989370474775029,-789.0897600534483,-249.0253200641182,1.0,0.0,1.0
21,1.0,5e-26,-78.19230725877608,-39.00958404215228,296.7827138807504,476.4341509590977,1.0,0.0,1.0
22,2.0,5e-26,-40.223119195183564,-44.591992868767555,-185.39663697941353,321.1632277982676,1.0,0.0,1.0
23,3.0,5e-26,-1.279215968309515,49.50061505876607,-52.846800829973404,209.4458727765625,1.0,0.0,1.0
24,4.0,5e-26,15.235175527425397,-10.073915993227274,379.32604965256996,-17.099531306048675,1.0,0.0,1.0
25,5.0,5e-26,8.722516097715285,50.6220005762745,-159.7810882941335,-519.0264964219373,1.0,0.0,1.0
