,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-87.76499734136928,-145.80927075000295,-123.027471146518,481.43453272585305,0.0,0.0,1.0
1,1.0,5e-26,-20.22400056671799,-74.61571852942252,-484.7816230444668,259.7011114505747,0.0,0.0,1.0
2,2.0,5e-26,115.75823926087742,-84.26728292770744,9.76508926120124,-204.84563666568454,0.0,0.0,1.0
3,3.0,5e-26,180.1087133644196,1.408424686100659,-189.89851774411784,-391.27653466880895,0.0,0.0,1.0
4,4.0,5e-26,1.3170240331694174,154.6447618581476,40.45432440920888,450.22771985516147,0.0,0.0,1.0
5,5.0,5e-26,34.94082568433538,45.32006765925655,-228.9300519953419,324.0306692606076,0.0,0.0,1.0
6,6.0,5e-26,-84.22269932938605,69.12852600851778,342.77061011109413,-223.98046340822373,0.0,0.0,1.0
7,7.0,5e-26,128.29737012523702,13.603136884200723,-251.1472415099747,-289.17043948743924,0.0,0.0,1.0
8,8.0,5e-26,20.213498966516283,-172.0222612120251,266.39008148288985,-414.89596003471115,0.0,0.0,1.0
9,9.0,5e-26,-116.03094218424313,21.92014947783875,-482.35812502237997,411.93748011031937,0.0,0.0,1.0
10,10.0,5e-26,64.44835856467557,-30.689198197831473,-208.78515868373717,-104.49641676504342,0.0,0.0,1.0
11,11.0,5e-26,-62.10423170128715,68.63237387375068,-5.299822388927339,-46.97831350571903,0.0,0.0,1.0
12,12.0,5e-26,140.26959565813308,-25.24161210651846,-391.3211526618059,-349.91341148406207,0.0,0.0,1.0
13,13.0,5e-26,-8.93694145704697,125.81116618067915,-125.65887142808043,-438.7235421943362,0.0,0.0,1.0
14,14.0,5e-26,-33.78355430223448,122.48132000724314,-217.9532492984112,-65.53407643839972,0.0,0.0,1.0
15,15.0,5e-26,-24.483791312067808,180.979112119469,-343.09098336326537,454.3845897913641,0.0,0.0,1.0
16,16.0,5e-26,147.23930333944276,68.30495499183655,96.88658371718566,-493.86440211543146,0.0,0.0,1.0
17,17.0,5e-26,-48.97870072889262,28.809684174385723,-160.5844198742459,476.391975240032,0.0,0.0,1.0
