,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,52.0310438303334,-20.523080464017312,78.44074434974436,199.97732717059898,0.0,0.0,1.0
1,1.0,5e-26,27.65594394731643,-41.49720534975247,-854.3234505982609,745.8327707772303,0.0,0.0,1.0
2,2.0,5e-26,1.05223119455664,-10.553085021534002,-876.338546309672,-114.51348115424298,0.0,0.0,1.0
3,3.0,5e-26,90.5554129891213,-4.150219392545324,-880.2177192243917,-124.02198911077392,0.0,0.0,1.0
4,4.0,5e-26,-14.584280151347485,24.45258043351096,141.26981279300935,-925.6986596801012,0.0,0.0,1.0
5,5.0,5e-26,-13.838359836120702,-62.76456234886289,455.23834032460104,380.4537001505196,0.0,0.0,1.0
6,6.0,5e-26,-8.790829360511395,90.24607318434371,571.0101730757244,-561.6574882425824,0.0,0.0,1.0
7,7.0,5e-26,17.695349876358478,12.104776053706644,463.2717260436816,-885.0040506758121,0.0,0.0,1.0
8,8.0,5e-26,-19.0776087624198,-84.62350630668888,-511.5934696315254,-299.7291495194878,0.0,0.0,1.0
9,9.0,5e-26,-29.327467046428154,20.771096248521886,256.9960257978346,689.1675142325234,0.0,0.0,1.0
10,10.0,5e-26,0.49456291047154366,54.87084822657556,625.2570504338419,15.998854873664868,0.0,0.0,1.0
11,11.0,5e-26,43.50301684924946,60.85350010168605,-776.181846268964,4.221215610101126,0.0,0.0,1.0
12,12.0,5e-26,45.36504307413412,-33.05185993096847,337.19457835253615,-25.130842472036193,0.0,0.0,1.0
13,13.0,5e-26,58.95197607754076,-43.058500393741475,122.65767993421696,876.9610737690048,0.0,0.0,1.0
14,14.0,5e-26,-32.27255879166611,-34.47887842981313,-949.6260926548003,-354.5439539937813,0.0,0.0,1.0
15,15.0,5e-26,-37.281014945328835,67.72426740167376,-20.298727018559248,-231.85170579460816,0.0,0.0,1.0
16,16.0,5e-26,42.04157695874517,-65.4447375718023,738.5433362717904,430.16506272346305,0.0,0.0,1.0
17,17.0,5e-26,72.03505069570323,54.23766702393323,74.45486806708254,188.64727160966777,0.0,0.0,1.0
18,18.0,5e-26,9.702583588327599,-11.449955825536478,-422.8510351907371,616.4810929873397,0.0,0.0,1.0
19,19.0,5e-26,-37.488389699097254,-55.61400770633446,587.1110812458448,410.68512388511544,0.0,0.0,1.0
20,0.0,5e-26,52.0310438303334,-20.523080464017312,78.44074434974436,199.97732717059898,1.0,0.0,1.0
21,1.0,5e-26,27.65594394731643,-41.49720534975247,-854.3234505982609,745.8327707772303,1.0,0.0,1.0
22,2.0,5e-26,1.05223119455664,-10.553085021534002,-876.338546309672,-114.51348115424298,1.0,0.0,1.0
23,3.0,5e-26,90.5554129891213,-4.150219392545324,-880.2177192243917,-124.02198911077392,1.0,0.0,1.0
24,4.0,5e-26,-14.584280151347485,24.45258043351096,141.26981279300935,-925.6986596801012,1.0,0.0,1.0
