,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-42.800904913472095,70.72040515365063,452.28826186850677,215.23739926209055,0.0,0.0,1.0
1,1.0,5e-26,-163.88845865565736,-93.9333495608368,-379.5972276412847,-384.1687815825933,0.0,0.0,1.0
2,2.0,5e-26,91.73153587458978,23.40582712006895,-150.34441928111,240.83315631808443,0.0,0.0,1.0
3,3.0,5e-26,-54.3825778227081,-134.47104067151884,48.22310955385956,253.21021378647833,0.0,0.0,1.0
4,4.0,5e-26,-60.28220943469475,-121.76177298730877,-226.62553134817512,-258.3248502153258,0.0,0.0,1.0
5,5.0,5e-26,145.28710544374593,4.744059664511354,374.0699911129617,-125.39522159137704,0.0,0.0,1.0
6,6.0,5e-26,4.187202047971141,119.96738331445721,-487.4600588886111,315.3580518213904,0.0,0.0,1.0
7,7.0,5e-26,2.4966273594560846,13.366117058038242,207.8107935235481,-349.7614068534949,0.0,0.0,1.0
8,8.0,5e-26,43.82972966903188,58.714129441580496,50.125559944040106,-313.18105647945686,0.0,0.0,1.0
9,9.0,5e-26,15.492923723964111,57.68879838585977,388.0634391644958,-222.9680179991537,0.0,0.0,1.0
10,0.0,5e-26,-42.800904913472095,70.72040515365063,452.28826186850677,215.23739926209055,1.0,0.0,1.0
11,1.0,5e-26,-163.88845865565736,-93.9333495608368,523.3498486423136,133.3590788123215,1.0,0.0,1.0
12,2.0,5e-26,91.73153587458978,23.40582712006895,-150.34441928111,240.83315631808443,1.0,0.0,1.0
13,3.0,5e-26,-54.3825778227081,-134.47104067151884,48.22310955385956,253.21021378647833,1.0,0.0,1.0
14,4.0,5e-26,-60.28220943469475,-121.76177298730877,-226.62553134817512,-258.3248502153258,1.0,0.0,1.0
15,5.0,5e-26,145.28710544374593,4.744059664511354,374.0699911129617,-125.39522159137704,1.0,0.0,1.0
16,6.0,5e-26,4.187202047971141,119.96738331445721,-487.4600588886111,315.3580518213904,1.0,0.0,1.0
17,7.0,5e-26,2.4966273594560846,13.366117058038242,207.8107935235481,-349.7614068534949,1.0,0.0,1.0
18,8.0,5e-26,43.82972966903188,58.714129441580496,50.125559944040106,-313.18105647945686,1.0,0.0,1.0
19,9.0,5e-26,15.492923723964111,57.68879838585977,388.0634391644958,-222.9680179991537,1.0,0.0,1.0
20,0.0,5e-26,20.43447721672907,100.81320290794206,452.28826186850677,215.23739926209055,2.0,0.13981212306718124,1.0
21,1.0,5e-26,-90.71780521008753,-75.28813362180259,523.3498486423136,133.3590788123215,2.0,0.13981212306718124,1.0
22,2.0,5e-26,70.71156342359534,57.07722200987067,-150.34441928111,240.83315631808443,2.0,0.13981212306718124,1.0
23,3.0,5e-26,-47.64040249508172,-99.06918309973645,48.22310955385956,253.21021378647833,2.0,0.13981212306718124,1.0
24,4.0,5e-26,-91.96720611371114,-157.87871873692507,-226.62553134817512,-258.3248502153258,2.0,0.13981212306718124,1.0
25,5.0,5e-26,197.58662507697073,-12.787712488658716,-387.1127266372017,-76.1318377862581,2.0,0.13981212306718124,1.0
26,6.0,5e-26,-63.96562369569877,164.05826206593596,-487.4600588886111,315.3580518213904,2.0,0.13981212306718124,1.0
27,7.0,5e-26,31.551095598258986,-35.53476780111304,207.8107935235481,-349.7614068534949,2.0,0.13981212306718124,1.0
28,8.0,5e-26,50.83789062473939,14.927621030764833,50.125559944040106,-313.18105647945686,2.0,0.13981212306718124,1.0
29,9.0,5e-26,69.7488970383042,26.51516641331661,388.0634391644958,-222.9680179991537,2.0,0.13981212306718124,1.0
30,0.0,5e-26,40.90518608231522,110.55491523776845,452.28826186850677,215.23739926209055,3.0,0.18507243732123008,1.0
31,1.0,5e-26,-67.03082659572752,-69.25225980612645,523.3498486423136,133.3590788123215,3.0,0.18507243732123008,1.0
32,2.0,5e-26,63.906927760589824,67.97740634762164,-150.34441928111,240.83315631808443,3.0,0.18507243732123008,1.0
33,3.0,5e-26,-45.457809402366614,-87.60880925142555,48.22310955385956,253.21021378647833,3.0,0.18507243732123008,1.0
34,4.0,5e-26,-102.22434888052034,-169.57058263730082,122.62765790619477,321.019185118358,3.0,0.18507243732123008,1.0
35,5.0,5e-26,180.0657814176293,-16.233463391603028,-387.1127266372017,-76.1318377862581,3.0,0.18507243732123008,1.0
