,ball,mass,x,y,v_x,v_y,collision,t,container
0,0.0,5e-26,-152.3599945708346,-26.177422925289136,-863.4431015783634,207.82459021192017,0.0,0.0,1.0
1,1.0,5e-26,-52.59724205740437,104.81774696152132,86.01847984875803,935.0791213601692,0.0,0.0,1.0
2,2.0,5e-26,-65.28402442002962,21.770364593300883,-803.565480362347,-854.5809505687671,0.0,0.0,1.0
3,3.0,5e-26,-19.377314513061975,-182.0226753193388,677.9533787046388,-369.138587041203,0.0,0.0,1.0
4,4.0,5e-26,-125.78411091704989,-122.62539680573076,-294.2224118554725,-960.0171537582403,0.0,0.0,1.0
5,5.0,5e-26,189.22006367803834,34.28363247236646,40.579430689221795,-144.98376919752423,0.0,0.0,1.0
6,6.0,5e-26,-29.58601972221058,-183.31665254122396,274.33106805810326,711.3123019333275,0.0,0.0,1.0
7,7.0,5e-26,-66.21446026393139,74.68602503227277,-923.9724667489311,-977.1673360012956,0.0,0.0,1.0
8,8.0,5e-26,-135.75397145976845,-68.75738731431755,468.69329521083625,-655.0267836967041,0.0,0.0,1.0
9,9.0,5e-26,188.61441131110058,13.22852578384223,-944.1167407199346,427.0171533616924,0.0,0.0,1.0
10,10.0,5e-26,12.424879205946297,119.43345075264722,-791.4293834760911,-353.67701781440394,0.0,0.0,1.0
11,11.0,5e-26,-104.19899632065217,-154.18126953622166,39.59834636814753,393.94218399790907,0.0,0.0,1.0
12,12.0,5e-26,161.026523085953,-1.5843364873310861,-130.05715773464294,136.85187770301218,0.0,0.0,1.0
13,13.0,5e-26,172.930699992918,-82.05126893255492,-87.09702787580727,23.68687670258487,0.0,0.0,1.0
14,14.0,5e-26,24.478415863868065,-19.242596323225513,-185.22324794122142,550.1613355484253,0.0,0.0,1.0
15,15.0,5e-26,-127.00050081973255,21.34202356562693,498.8861803058333,640.1576024247674,0.0,0.0,1.0
16,16.0,5e-26,7.929877467461239,97.22675818638584,-330.7698971303216,-249.15253401449513,0.0,0.0,1.0
17,17.0,5e-26,-103.74781488078935,91.01784257265575,667.8927006086184,-126.76737694150847,0.0,0.0,1.0
18,18.0,5e-26,-59.1216022063453,-16.680336923931407,831.6548546749362,-201.3208705954404,0.0,0.0,1.0
19,19.0,5e-26,-71.47240989504665,-98.6567343345792,-187.88537550782257,893.9680520682657,0.0,0.0,1.0
20,0.0,5e-26,-152.3599945708346,-26.177422925289136,-863.4431015783634,207.82459021192017,1.0,0.0,1.0
21,1.0,5e-26,-52.59724205740437,104.81774696152132,86.01847984875803,935.0791213601692,1.0,0.0,1.0
22,2.0,5e-26,-65.28402442002962,21.770364593300883,-803.565480362347,-854.5809505687671,1.0,0.0,1.0
23,3.0,5e-26,-19.377314513061975,-182.0226753193388,677.9533787046388,-369.138587041203,1.0,0.0,1.0
24,4.0,5e-26,-125.78411091704989,-122.62539680573076,967.1880626231725,269.71654503822765,1.0,0.0,1.0
25,5.0,5e-26,189.22006367803834,34.28363247236646,40.579430689221795,-144.98376919752423,1.0,0.0,1.0
26,6.0,5e-26,-29.58601972221058,-183.31665254122396,274.33106805810326,711.3123019333275,1.0,0.0,1.0
27,7.0,5e-26,-66.21446026393139,74.68602503227277,-923.9724667489311,-977.1673360012956,1.0,0.0,1.0
28,8.0,5e-26,-135.75397145976845,-68.75738731431755,468.69329521083625,-655.0267836967041,1.0,0.0,1.0
29,9.0,5e-26,188.61441131110058,13.22852578384223,-944.1167407199346,427.0171533616924,1.0,0.0,1.0
30,10.0,5e-26,12.424879205946297,119.43345075264722,-791.4293834760911,-353.67701781440394,1.0,0.0,1.0
31,11.0,5e-26,-104.19899632065217,-154.18126953622166,39.59834636814753,393.94218399790907,1.0,0.0,1.0
32,12.0,5e-26,161.026523085953,-1.5843364873310861,-130.05715773464294,136.85187770301218,1.0,0.0,1.0
33,13.0,5e-26,172.930699992918,-82.05126893255492,-87.09702787580727,23.68687670258487,1.0,0.0,1.0
34,14.0,5e-26,24.478415863868065,-19.242596323225513,-185.22324794122142,550.1613355484253,1.0,0.0,1.0
35,15.0,5e-26,-127.00050081973255,21.34202356562693,498.8861803058333,640.1576024247674,1.0,0.0,1.0
36,16.0,5e-26,7.929877467461239,97.22675818638584,-330.7698971303216,-249.15253401449513,1.0,0.0,1.0
37,17.0,5e-26,-103.74781488078935,91.01784257265575,667.8927006086184,-126.76737694150847,1.0,0.0,1.0
38,18.0,5e-26,-59.1216022063453,-16.680336923931407,831.6548546749362,-201.3208705954404,1.0,0.0,1.0
39,19.0,5e-26,-71.47240989504665,-98.6567343345792,-187.88537550782257,893.9680520682657,1.0,0.0,1.0
40,0.0,5e-26,-184.83063019609455,-18.361972746343238,-863.4431015783634,207.82459021192017,2.0,0.037605993453308055,1.0
41,1.0,5e-26,-49.36243166734847,139.98232627771688,86.01847984875803,935.0791213601692,2.0,0.037605993453308055,1.0
42,2.0,5e-26,-95.50290261384039,-10.367001039109944,-803.565480362347,-854.5809505687671,2.0,0.037605993453308055,1.0
43,3.0,5e-26,6.117795808152749,-195.90449860697365,653.5995667767319,410.7209350021976,2.0,0.037605993453308055,1.0
44,4.0,5e-26,-89.41204296592517,-112.4824381787743,967.1880626231725,269.71654503822765,2.0,0.037605993453308055,1.0
45,5.0,5e-26,190.74609348287618,28.83137379708844,40.579430689221795,-144.98376919752423,2.0,0.037605993453308055,1.0
46,6.0,5e-26,-19.26952737277854,-156.56704677146178,274.33106805810326,711.3123019333275,2.0,0.037605993453308055,1.0
47,7.0,5e-26,-100.96136279952859,37.938676591821576,-923.9724667489311,-977.1673360012956,2.0,0.037605993453308055,1.0
48,8.0,5e-26,-118.12829446846037,-93.39032025375724,468.69329521083625,-655.0267836967041,2.0,0.037605993453308055,1.0
