,x,y,t,collision
0,0.0,0.0,0.0,0.0
1,-0.38969193082162484,0.49987696965859824,0.001527904714419653,11.0
2,-0.3998838754534308,0.5072450728494797,0.0015627823797026582,13.0
3,-0.501222939311372,0.5133876630245292,0.001971232549867339,18.0
4,-0.7721676169733441,0.5262534660830872,0.0032923245997616623,39.0
5,-0.8800834766677696,0.5781497412587836,0.004308901972732722,56.0
6,-0.8691472501666222,0.6550052650848557,0.005214571662999155,66.0
7,-0.8492449681232626,0.4873453787009374,0.007939511115743429,102.0
8,-0.8274513918682451,-0.04638629942964079,0.010726359617909086,135.0
9,-0.9809320596964439,-0.23755230850967313,0.011949693937753605,154.0
10,-1.1349921513435879,-0.2517023272166125,0.012451042572653288,160.0
11,-1.2849183045615853,-0.2653709077149929,0.012944499808942323,170.0
12,-1.3726423151095548,-0.3383864284597719,0.014006361755053138,188.0
13,-1.582368076673423,-0.3981392456611411,0.015127493769531234,197.0
14,-1.752775695730438,-0.2649734535612694,0.016306087427875957,214.0
15,-1.8093158869489236,-0.21887314963097487,0.017289399338679887,218.0
16,-1.8810178463220018,-0.3315979495065234,0.018848124163238892,252.0
17,-1.9686515806980038,-0.4551949790127685,0.020375379179476415,278.0
18,-2.644279276051725,-0.661366674657998,0.023500906926580304,316.0
19,-3.064692446561884,-0.5305922087363858,0.024725842583252375,333.0
20,-3.5107988922886433,-0.46389674244622114,0.026097145157810874,349.0
21,-3.9805533033702565,-0.3939484725546522,0.027553015917884626,369.0
22,-2.599507317071777,0.10253599806302699,0.03205175748288421,441.0
23,-2.006883034383544,0.568822603528255,0.03358096257335688,462.0
24,-1.9047884389961203,0.8044185661019976,0.03409839539344968,470.0
25,-1.529058706296544,1.1187323986070032,0.03512270483498974,480.0
26,-1.4739877590212445,1.189111671354959,0.03554392281687074,489.0
