,x,y,t,collision
0,0.0,0.0,0.0,0.0
1,-0.29822951849601165,-0.25181007018951673,0.0010404410845488183,12.0
2,-0.47398977587180324,-0.44286249299734387,0.0023322610658380026,32.0
3,-0.49896120940625927,-0.34630355467741936,0.004946251363576711,78.0
4,-0.5495300580611612,-0.32253096804204223,0.0053200202812343006,91.0
5,-0.5642014639492382,-0.2354444211043267,0.005844669523105261,99.0
6,-0.8177036477528526,0.1071412824006044,0.0098015592762952,150.0
7,-0.8379680666337052,0.09126692634832886,0.010548156488291825,161.0
8,-1.1730937708335172,0.30763830051867536,0.012229781107622541,180.0
9,-1.344641990008651,0.44324287643413113,0.01329221076807313,194.0
10,-1.4353476441692632,0.49020831587710206,0.014112086897630056,211.0
11,-1.4221511878883262,0.5037747500984927,0.014394001505428713,216.0
12,-1.2752315293709324,0.5028922775848528,0.015418367961199027,230.0
13,-0.9132936795635316,0.42991953155605944,0.018096719706742627,270.0
14,-0.9430793927966652,0.3833954173717861,0.01850588140141113,279.0
15,-0.9386993412584855,0.22614557187661813,0.022473733039143427,340.0
16,-0.9707766412306469,-0.03850070646845157,0.024297941234732286,363.0
17,-0.949012100992841,-0.29141512618696996,0.0265466947649124,397.0
18,-1.0203571763292838,-0.33379081129599025,0.027845911760085888,414.0
19,-1.0485660230277654,-0.33327576197907527,0.028085984335563415,416.0
20,-1.0628454000960246,-1.0628355255582131,0.03200915792619013,467.0
21,-1.0670097391608162,-1.1505177807388505,0.03231783344349499,469.0
22,-1.1231108112473491,-1.2747973740977334,0.032948734748937475,478.0
23,-1.1364664547798382,-1.2841761829702283,0.033027899289084124,480.0
