,ball,mass,x,y,vx,vy,collision,t,container
0,0.0,5e-26,168.4598559698635,-27.575963440812444,-191.2235628950736,200.9304473144656,0.0,0.0,0.0
1,1.0,5e-26,7.811807762166609,-156.06628691638173,-327.08236427869144,264.8218647674852,0.0,0.0,0.0
2,2.0,5e-26,-130.9050472922899,95.61310109983106,214.50465346727992,-54.739819133865524,0.0,0.0,0.0
3,3.0,5e-26,166.70512725086274,-45.37642632350446,8.07870890481712,-282.3784112403773,0.0,0.0,0.0
4,4.0,5e-26,71.88673230949746,34.22144090752556,-6.582924868380303,-150.73216238146347,0.0,0.0,0.0
5,5.0,5e-26,-177.5759834035955,-6.599076897186791,220.20124805012233,385.4210635590731,0.0,0.0,0.0
6,6.0,5e-26,-192.3593100733208,4.721834989260287,379.77297528598933,-231.38983354933873,0.0,0.0,0.0
7,7.0,5e-26,-28.210009932743247,43.098720373042966,-376.54921883809055,452.2603712663806,0.0,0.0,0.0
8,8.0,5e-26,-17.799137110478824,117.14560037906881,-280.0667920791993,-419.31086332348667,0.0,0.0,0.0
9,9.0,5e-26,91.54589429518614,-29.03198220008889,-298.93983330437624,-151.53881702635329,0.0,0.0,0.0
10,0.0,5e-26,131.14088566998652,11.637391242804945,-191.2235628950736,200.9304473144656,1.0,0.19515884828667426,0.0
11,1.0,5e-26,-56.02120974534526,-104.38395678722992,-327.08236427869144,264.8218647674852,1.0,0.19515884828667426,0.0
12,2.0,5e-26,-89.0425661694834,84.930141042245,214.50465346727992,-54.739819133865524,1.0,0.19515884828667426,0.0
13,3.0,5e-26,168.28175877637014,-100.48507184219737,-252.42434730126382,-126.82579217863916,1.0,0.19515884828667426,1.0
14,4.0,5e-26,70.60201627382665,4.804725697399181,-6.582924868380303,-150.73216238146347,1.0,0.19515884828667426,0.0
15,5.0,5e-26,-134.60176144284534,68.61925397242699,220.20124805012233,385.4210635590731,1.0,0.19515884828667426,0.0
16,6.0,5e-26,-118.24325360610352,-40.43593843147392,379.77297528598933,-231.38983354933873,1.0,0.19515884828667426,0.0
17,7.0,5e-26,-101.69692180443187,131.36133355509352,-376.54921883809055,452.2603712663806,1.0,0.19515884828667426,0.0
18,8.0,5e-26,-72.45664969599882,35.31337521876607,-280.0667920791993,-419.31086332348667,1.0,0.19515884828667426,0.0
19,9.0,5e-26,33.20514072049369,-58.606123201677065,-298.93983330437624,-151.53881702635329,1.0,0.19515884828667426,0.0
20,0.0,5e-26,121.4287864254842,21.842495760343496,-191.2235628950736,200.9304473144656,2.0,0.24594808731905984,0.0
21,1.0,5e-26,-72.63347412797353,-90.93385579655202,-327.08236427869144,264.8218647674852,2.0,0.24594808731905984,0.0
22,2.0,5e-26,-78.14803805097468,82.14994728366555,214.50465346727992,-54.739819133865524,2.0,0.24594808731905984,0.0
23,3.0,5e-26,155.46131826369233,-106.92645731662994,-252.42434730126382,-126.82579217863916,2.0,0.24594808731905984,0.0
24,4.0,5e-26,70.26767452915425,-2.850846127661324,-6.582924868380303,-150.73216238146347,2.0,0.24594808731905984,0.0
25,5.0,5e-26,-123.41790762039805,88.19449649764503,220.20124805012233,385.4210635590731,2.0,0.24594808731905984,0.0
26,6.0,5e-26,-98.95487318626314,-52.188051997275196,379.77297528598933,-231.38983354933873,2.0,0.24594808731905984,0.0
27,7.0,5e-26,-120.82157008745772,154.33129365621718,348.6644921879121,-474.09052881588536,2.0,0.24594808731905984,1.0
28,8.0,5e-26,-86.6810289439427,14.016895552553546,-280.0667920791993,-419.31086332348667,2.0,0.24594808731905984,0.0
29,9.0,5e-26,18.022214070496226,-66.30266440231347,-298.93983330437624,-151.53881702635329,2.0,0.24594808731905984,0.0
30,0.0,5e-26,93.12967163985618,51.5781293108997,-191.2235628950736,200.9304473144656,3.0,0.39393777204821656,0.0
31,1.0,5e-26,-121.03829009804426,-51.742951520224516,-9.280949585070807,98.6909252039976,3.0,0.39393777204821656,0.0
32,2.0,5e-26,-46.403562011414905,74.04901870791373,214.50465346727992,-54.739819133865524,3.0,0.39393777204821656,0.0
33,3.0,5e-26,118.10511868861514,-125.69536631667229,-252.42434730126382,-126.82579217863916,3.0,0.39393777204821656,0.0
34,4.0,5e-26,69.29346955328693,-25.15765131703816,-6.582924868380303,-150.73216238146347,3.0,0.39393777204821656,0.0
35,5.0,5e-26,-90.83039434449361,145.23283818172854,220.20124805012233,385.4210635590731,3.0,0.39393777204821656,0.0
36,6.0,5e-26,-42.75239030503575,-86.43136051377388,379.77297528598933,-231.38983354933873,3.0,0.39393777204821656,0.0
37,7.0,5e-26,-69.22282181231708,84.17078576367513,348.6644921879121,-474.09052881588536,3.0,0.39393777204821656,0.0
38,8.0,5e-26,-128.12802520684968,-48.036786914199766,-597.8682067728199,-253.17992375999907,3.0,0.39393777204821656,0.0
39,9.0,5e-26,-26.21779761320508,-88.72884615827286,-298.93983330437624,-151.53881702635329,3.0,0.39393777204821656,0.0
40,0.0,5e-26,93.12967163985549,51.57812931090044,-191.2235628950736,200.9304473144656,4.0,0.3939377720482202,0.0
41,1.0,5e-26,-121.03829009804429,-51.74295152022415,-327.08236427887505,264.82186476747256,4.0,0.3939377720482202,0.0
42,2.0,5e-26,-46.40356201141412,74.04901870791353,214.50465346727992,-54.739819133865524,4.0,0.3939377720482202,0.0
43,3.0,5e-26,118.10511868861421,-125.69536631667276,-252.42434730126382,-126.82579217863916,4.0,0.3939377720482202,0.0
44,4.0,5e-26,69.2934695532869,-25.15765131703871,-6.582924868380303,-150.73216238146347,4.0,0.3939377720482202,0.0
45,5.0,5e-26,-90.8303943444928,145.23283818172996,220.20124805012233,385.4210635590731,4.0,0.3939377720482202,0.0
46,6.0,5e-26,-42.75239030503436,-86.43136051377473,379.77297528598933,-231.38983354933873,4.0,0.3939377720482202,0.0
47,7.0,5e-26,-69.2228218123158,84.1707857636734,348.6644921879121,-474.09052881588536,4.0,0.3939377720482202,0.0
